CodMun;Regiao;UF;Cod UF;Mun;Populacao;Faixa_pop
1705102;1 - Norte;TO;17;Chapada da Natividade;3331;1 - Até 5000
1705508;1 - Norte;TO;17;Colinas do Tocantins;35851;4 - 20001 até 50000
1705557;1 - Norte;TO;17;Combinado;4861;1 - Até 5000
1705607;1 - Norte;TO;17;Conceição do Tocantins;4087;1 - Até 5000
1706001;1 - Norte;TO;17;Couto Magalhães;5639;2 - 5001 até 10000
1706100;1 - Norte;TO;17;Cristalândia;7278;2 - 5001 até 10000
1706258;1 - Norte;TO;17;Crixás do Tocantins;1735;1 - Até 5000
1706506;1 - Norte;TO;17;Darcinópolis;6174;2 - 5001 até 10000
1707009;1 - Norte;TO;17;Dianópolis;22424;4 - 20001 até 50000
1707108;1 - Norte;TO;17;Divinópolis do Tocantins;6943;2 - 5001 até 10000
