CodMun;REGIAO;COD UF;UF;NOME MUNIC;POP EST;CLASSE POP
1703909;1 - Norte;17;TO;Caseara;5043;2 - 5001 até 10000
1704105;1 - Norte;17;TO;Centenário;2771;1 - Até 5000
1704600;1 - Norte;17;TO;Chapada de Areia;1391;1 - Até 5000
1705102;1 - Norte;17;TO;Chapada da Natividade;3363;1 - Até 5000
1705508;1 - Norte;17;TO;Colinas do Tocantins;33535;4 - 20001 até 50000
1705557;1 - Norte;17;TO;Combinado;4839;1 - Até 5000
1705607;1 - Norte;17;TO;Conceição do Tocantins;4224;1 - Até 5000
1706001;1 - Norte;17;TO;Couto Magalhães;5370;2 - 5001 até 10000
1706100;1 - Norte;17;TO;Cristalândia;7393;2 - 5001 até 10000
1706258;1 - Norte;17;TO;Crixás do Tocantins;1666;1 - Até 5000
1706506;1 - Norte;17;TO;Darcinópolis;5753;2 - 5001 até 10000
1707009;1 - Norte;17;TO;Dianópolis;20870;4 - 20001 até 50000
