Ano;UF;CODMUN;MUNICIPIO;CODMUN_IBGE
202012;BA;5490;VALENCA;2932903
202012;BA;20554;VERA CRUZ;2933208
202012;BA;12287;VITORIA DA CONQUISTA;2933307
202012;BA;12287;VITORIA DA CONQUISTA;2933307
202012;BA;12287;VITORIA DA CONQUISTA;2933307
202012;BA;12287;VITORIA DA CONQUISTA;2933307
202012;BA;42271;WANDERLEY;2933455
202012;BA;38405;WENCESLAU GUIMARAES;2933505
202012;BA;25432;XIQUE-XIQUE;2933604
202012;CE;29036;ACARAU;2300200
202012;CE;7900;ACOPIARA;2300309
202012;CE;34320;AIUABA;2300408
202012;CE;42367;AMONTADA;2300754
202012;CE;9238;AQUIRAZ;2301000
202012;CE;26723;ARACATI;2301109
202012;CE;13341;ARACOIABA;2301208
202012;CE;22538;ASSARE;2301604
202012;CE;40613;AURORA;2301703
202012;CE;43380;BANABUIU;2301851
202012;CE;1652;BARBALHA;2301901
202012;CE;28051;BARRO;2302008
202012;CE;7254;BATURITE;2302107
202012;CE;33833;BEBERIBE;2302206
202012;CE;11594;BELA CRUZ;2302305
202012;CE;39741;BOA VIAGEM;2302404
202012;CE;17866;BREJO SANTO;2302503
202012;CE;5160;CAMOCIM;2302602
202012;CE;19211;CAMPOS SALES;2302701
202012;CE;7223;CANINDE;2302800
202012;CE;14852;CARIRIACU;2303204
202012;CE;37011;CASCAVEL;2303501
202012;CE;23654;CATARINA;2303600
202012;CE;1559;CAUCAIA;2303709
202012;CE;1559;CAUCAIA;2303709
202012;CE;1559;CAUCAIA;2303709
202012;CE;29287;CEDRO;2303808
202012;CE;17804;CRATEUS;2304103
202012;CE;6389;CRATO;2304202
202012;CE;43414;EUSEBIO;2304285
202012;CE;42350;FORQUILHA;2304350
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;34863;FORTALEZA;2304400
202012;CE;22325;FRECHEIRINHA;2304509
202012;CE;26792;GRANJA;2304707
202012;CE;18425;GUARACIABA DO NORTE;2305001
202012;CE;20963;HIDROLANDIA;2305209
202012;CE;43445;HORIZONTE;2305233
202012;CE;42453;ICAPUI;2305357
202012;CE;24653;ICO;2305407
202012;CE;2723;IGUATU;2305506
202012;CE;35484;IPU;2305803
202012;CE;13152;IPUEIRAS;2305902
202012;CE;40259;IRACEMA;2306009
202012;CE;51107;ITAITINGA;2306256
202012;CE;22693;ITAPAGE;2306306
202012;CE;9582;ITAPIPOCA;2306405
202012;CE;42336;ITAREMA;2306553
202012;CE;33101;JAGUARIBE;2306900
202012;CE;19747;JAGUARUANA;2307007
202012;CE;37585;JARDIM;2307106
202012;CE;55512;JIJOCA DE JERICOACOARA;2307254
202012;CE;4848;JUAZEIRO DO NORTE;2307304
202012;CE;4848;JUAZEIRO DO NORTE;2307304
202012;CE;4848;JUAZEIRO DO NORTE;2307304
202012;CE;4848;JUAZEIRO DO NORTE;2307304
202012;CE;31787;JUCAS;2307403
202012;CE;7577;LAVRAS DA MANGABEIRA;2307502
202012;CE;34399;LIMOEIRO DO NORTE;2307601
202012;CE;42666;MARACANAU;2307650
202012;CE;42666;MARACANAU;2307650
202012;CE;10894;MARANGUAPE;2307700
202012;CE;37602;MARCO;2307809
202012;CE;2022;MASSAPE;2308005
202012;CE;19761;MAURITI;2308104
202012;CE;25360;MILAGRES;2308302
202012;CE;30795;MOMBACA;2308500
202012;CE;35336;MORADA NOVA;2308708
202012;CE;39882;MORRINHOS;2308906
202012;CE;9094;NOVA RUSSAS;2309300
202012;CE;13482;OROS;2309508
202012;CE;37750;PACAJUS;2309607
202012;CE;15583;PACATUBA;2309706
202012;CE;11006;PARACURU;2310209
202012;CE;38443;PENTECOSTE;2310704
202012;CE;9135;PORTEIRAS;2311108
202012;CE;14106;QUIXADA;2311306
202012;CE;40716;QUIXERAMOBIM;2311405
202012;CE;18504;QUIXERE;2311504
202012;CE;2682;REDENCAO;2311603
202012;CE;9843;RUSSAS;2311801
202012;CE;15600;SANTA QUITERIA;2312205
202012;CE;11178;SANTANA DO ACARAU;2312007
202012;CE;33486;SAO BENEDITO;2312304
202012;CE;18614;SAO GONCALO DO AMARANTE;2312403
202012;CE;2462;SENADOR POMPEU;2312700
202012;CE;8727;SOBRAL;2312908
202012;CE;8727;SOBRAL;2312908
202012;CE;34818;SOLONOPOLE;2313005
202012;CE;9946;TABULEIRO DO NORTE;2313104
202012;CE;14151;TAUA;2313302
202012;CE;2785;TIANGUA;2313401
202012;CE;9269;TRAIRI;2313500
202012;CE;11350;UBAJARA;2313609
202012;CE;22181;URUBURETAMA;2313807
202012;CE;27533;VARZEA ALEGRE;2314003
202012;CE;34227;VICOSA DO CEARA;2314102
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;35800;BRASILIA;5300108
202012;DF;42714;BRASILIA (BRAZLANDIA);5300108
202012;DF;42721;BRASILIA (CEILANDIA);5300108
202012;DF;42721;BRASILIA (CEILANDIA);5300108
202012;DF;57455;BRASILIA (CRUZEIRO);5300108
202012;DF;42697;BRASILIA (GAMA);5300108
202012;DF;42697;BRASILIA (GAMA);5300108
202012;DF;42707;BRASILIA (GUARA);5300108
202012;DF;42752;BRASILIA (NUCLEO BANDEIRANTE);5300108
202012;DF;57462;BRASILIA (PARANOA);5300108
202012;DF;42738;BRASILIA (PLANALTINA);5300108
202012;DF;57424;BRASILIA (SAMAMBAIA);5300108
202012;DF;42745;BRASILIA (SOBRADINHO);5300108
202012;DF;42680;BRASILIA (TAGUATINGA);5300108
202012;DF;42680;BRASILIA (TAGUATINGA);5300108
202012;DF;42680;BRASILIA (TAGUATINGA);5300108
202012;DF;42680;BRASILIA (TAGUATINGA);5300108
202012;ES;20664;AFONSO CLAUDIO;3200102
202012;ES;12380;ALEGRE;3200201
202012;ES;3265;ALFREDO CHAVES;3200300
202012;ES;34681;ANCHIETA;3200409
202012;ES;17897;ARACRUZ;3200607
202012;ES;37080;BAIXO GUANDU;3200805
202012;ES;27959;BARRA DE SAO FRANCISCO;3200904
202012;ES;26077;BOA ESPERANCA;3201001
202012;ES;53868;BREJETUBA;3201159
202012;ES;32559;CACHOEIRO DE ITAPEMIRIM;3201209
202012;ES;32559;CACHOEIRO DE ITAPEMIRIM;3201209
202012;ES;32559;CACHOEIRO DE ITAPEMIRIM;3201209
202012;ES;23410;CARIACICA;3201308
202012;ES;23410;CARIACICA;3201308
202012;ES;23410;CARIACICA;3201308
202012;ES;23410;CARIACICA;3201308
202012;ES;14649;CASTELO;3201407
202012;ES;17268;COLATINA;3201506
202012;ES;17268;COLATINA;3201506
202012;ES;8837;CONCEICAO DA BARRA;3201605
202012;ES;39521;CONCEICAO DO CASTELO;3201704
